published_at,current_converted,current_raw
2020-09-22 00:57:05.972000+00:00,20.54,392.66
2020-09-22 00:54:35.502000+00:00,20.53,392.97
2020-09-22 00:52:05.050000+00:00,20.54,392.54
2020-09-22 00:49:34.580000+00:00,20.54,392.37
2020-09-22 00:47:04.123000+00:00,20.54,391.73
2020-09-22 00:44:33.658000+00:00,20.54,392.45
2020-09-22 00:42:03.227000+00:00,20.54,391.97
2020-09-22 00:39:32.725000+00:00,20.54,392.63
2020-09-22 00:37:02.307000+00:00,20.54,392.16
2020-09-22 00:34:31.862000+00:00,20.54,392.27
2020-09-22 00:32:01.339000+00:00,20.54,392.51
2020-09-22 00:29:30.870000+00:00,20.54,392.49
2020-09-22 00:27:00.413000+00:00,20.54,392.03
2020-09-22 00:24:29.945000+00:00,20.54,392.35
2020-09-22 00:21:59.515000+00:00,20.54,392.31
2020-09-22 00:19:29.022000+00:00,20.54,392.4
2020-09-22 00:16:58.549000+00:00,20.54,391.92
2020-09-22 00:14:28.258000+00:00,20.54,392.32
2020-09-22 00:11:57.629000+00:00,20.54,391.81
2020-09-22 00:09:27.298000+00:00,20.54,392.57
2020-09-22 00:06:56.700000+00:00,20.54,392.73
2020-09-22 00:04:26.235000+00:00,20.54,392.41
2020-09-22 00:01:55.768000+00:00,20.54,392.74
